Year,m,d,Time,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s),area
2017,1,5,4,0.0,1021.6,80.0,0.0,15.0,-18.4,-21.0,50000.0,9.0,10.5,7.5,1
2017,1,5,5,0.0,1022.4,80.0,0.0,15.0,-18.6,-21.2,47820.0,8.0,10.1,7.7,1
2017,1,5,6,0.0,1023.6,80.0,0.0,15.0,-19.1,-21.7,50000.0,2.0,8.2,6.3,1
2017,1,5,7,0.0,1024.4,80.0,0.0,15.0,-19.1,-21.7,50000.0,7.0,7.5,5.0,1
2017,1,5,8,0.0,1025.4,81.0,0.0,15.0,-18.9,-21.4,49370.0,7.0,8.4,6.1,1
2017,1,5,9,0.0,1026.3,79.0,0.0,14.0,-18.1,-20.8,50000.0,8.0,8.4,6.3,1
2017,1,5,10,0.0,1027.1,78.0,0.0,14.0,-17.5,-20.3,49040.0,360.0,8.2,6.3,1
2017,1,5,11,0.0,1027.7,76.0,0.0,14.0,-16.7,-19.9,28660.0,8.0,9.2,7.0,1
2017,1,5,12,0.0,1028.4,76.0,0.0,14.0,-16.8,-20.0,37660.0,9.0,9.8,6.8,1
2017,1,5,13,0.0,1029.4,77.0,0.0,14.0,-17.0,-20.1,49500.0,9.0,7.2,5.5,1
2017,1,5,14,0.0,1030.8,79.0,0.0,14.0,-17.5,-20.3,50000.0,9.0,6.3,4.5,1
2017,1,5,15,0.0,1031.4,82.0,0.0,14.0,-17.9,-20.2,50000.0,3.0,6.2,5.2,1
2017,1,5,16,0.0,1032.4,82.0,0.0,14.0,-18.2,-20.5,50000.0,7.0,5.8,4.6,1
2017,1,5,17,0.0,1033.2,82.0,0.0,14.0,-18.6,-20.9,50000.0,359.0,6.5,5.0,1
2017,1,5,18,0.0,1034.0,81.0,0.0,14.0,-18.7,-21.2,50000.0,5.0,4.8,3.7,1
2017,1,5,19,0.0,1034.7,82.0,0.0,14.0,-19.5,-21.8,50000.0,358.0,4.3,3.7,1
2017,1,5,20,0.0,1035.2,82.0,0.0,14.0,-19.9,-22.2,50000.0,351.0,5.3,4.2,1
2017,1,5,21,0.0,1035.8,82.0,0.0,13.0,-20.6,-22.9,50000.0,345.0,4.2,3.2,1
2017,1,5,22,0.0,1036.1,82.0,0.0,13.0,-21.6,-23.8,50000.0,326.0,2.0,1.3,1
2017,1,5,23,0.0,1036.5,83.0,0.0,13.0,-22.2,-24.3,50000.0,322.0,3.8,2.8,1
2017,1,6,0,0.0,1037.1,82.0,0.0,13.0,-21.4,-23.7,50000.0,334.0,3.4,2.9,1
2017,1,6,1,1.0,1037.7,82.0,0.0,13.0,-21.4,-23.7,50000.0,356.0,4.9,4.2,1
2017,1,6,2,0.0,1037.6,82.0,0.0,13.0,-21.5,-23.8,50000.0,22.0,2.6,1.8,1
2017,1,6,3,0.0,1038.2,82.0,0.0,13.0,-21.7,-24.0,48680.0,340.0,2.9,2.0,1
2017,1,6,4,0.0,1038.3,82.0,0.0,13.0,-21.9,-24.1,50000.0,356.0,2.8,2.0,1
2017,1,6,5,0.0,1038.3,81.0,0.0,13.0,-22.1,-24.5,50000.0,337.0,3.9,2.7,1
2017,1,6,6,0.0,1039.2,82.0,0.0,13.0,-21.6,-23.9,50000.0,325.0,3.1,2.6,1
2017,1,6,7,0.0,1039.5,81.0,0.0,13.0,-22.1,-24.5,50000.0,20.0,1.9,1.4,1
2017,1,6,8,0.0,1039.7,81.0,0.0,13.0,-23.5,-25.9,50000.0,51.0,2.2,1.8,1
2017,1,6,9,0.0,1039.7,83.0,0.0,13.0,-20.9,-23.1,50000.0,18.0,2.1,1.6,1
2017,1,6,10,0.0,1039.9,80.0,0.0,13.0,-22.1,-24.6,47560.0,338.0,2.0,1.0,1
2017,1,6,11,0.0,1039.3,80.0,0.0,13.0,-20.8,-23.3,50000.0,334.0,1.7,1.3,1
2017,1,6,12,0.0,1038.4,82.0,0.0,13.0,-18.3,-20.6,46270.0,52.0,1.1,0.6,1
2017,1,6,13,0.0,1038.5,81.0,0.0,13.0,-18.5,-21.0,48050.0,44.0,1.3,0.9,1
2017,1,6,14,0.0,1038.2,83.0,0.0,13.0,-20.1,-22.3,49380.0,52.0,1.4,1.1,1
2017,1,6,15,0.0,1038.2,82.0,0.0,13.0,-21.8,-24.0,21410.0,69.0,2.2,1.9,1
